project,article,granularity,timestamp,access,agent,views
de.wikipedia,Amsel,daily,2015070100,all-access,all-agents,1678
de.wikipedia,Amsel,daily,2015070200,all-access,all-agents,1719
de.wikipedia,Amsel,daily,2015070300,all-access,all-agents,1764
de.wikipedia,Amsel,daily,2015070400,all-access,all-agents,1876
de.wikipedia,Amsel,daily,2015070500,all-access,all-agents,2426
de.wikipedia,Amsel,daily,2015070600,all-access,all-agents,1802
de.wikipedia,Amsel,daily,2015070700,all-access,all-agents,1616
de.wikipedia,Amsel,daily,2015070800,all-access,all-agents,1209
de.wikipedia,Amsel,daily,2015070900,all-access,all-agents,1099
de.wikipedia,Amsel,daily,2015071000,all-access,all-agents,1173
de.wikipedia,Amsel,daily,2015071100,all-access,all-agents,1445
de.wikipedia,Amsel,daily,2015071200,all-access,all-agents,2011
de.wikipedia,Amsel,daily,2015071300,all-access,all-agents,1292
de.wikipedia,Amsel,daily,2015071400,all-access,all-agents,1129
de.wikipedia,Amsel,daily,2015071500,all-access,all-agents,1308
de.wikipedia,Amsel,daily,2015071600,all-access,all-agents,1344
de.wikipedia,Amsel,daily,2015071700,all-access,all-agents,1386
de.wikipedia,Amsel,daily,2015071800,all-access,all-agents,1640
de.wikipedia,Amsel,daily,2015071900,all-access,all-agents,1829
de.wikipedia,Amsel,daily,2015072000,all-access,all-agents,1305
de.wikipedia,Amsel,daily,2015072100,all-access,all-agents,1286
de.wikipedia,Amsel,daily,2015072200,all-access,all-agents,1275
de.wikipedia,Amsel,daily,2015072300,all-access,all-agents,1222
de.wikipedia,Amsel,daily,2015072400,all-access,all-agents,1206
de.wikipedia,Amsel,daily,2015072500,all-access,all-agents,1008
de.wikipedia,Amsel,daily,2015072600,all-access,all-agents,1255
de.wikipedia,Amsel,daily,2015072700,all-access,all-agents,903
de.wikipedia,Amsel,daily,2015072800,all-access,all-agents,764
de.wikipedia,Amsel,daily,2015072900,all-access,all-agents,754
de.wikipedia,Amsel,daily,2015073000,all-access,all-agents,760
de.wikipedia,Amsel,daily,2015073100,all-access,all-agents,843
de.wikipedia,Amsel,daily,2015080100,all-access,all-agents,952
de.wikipedia,Amsel,daily,2015080200,all-access,all-agents,1591
de.wikipedia,Amsel,daily,2015080300,all-access,all-agents,1035
de.wikipedia,Amsel,daily,2015080400,all-access,all-agents,899
de.wikipedia,Amsel,daily,2015080500,all-access,all-agents,821
de.wikipedia,Amsel,daily,2015080600,all-access,all-agents,867
de.wikipedia,Amsel,daily,2015080700,all-access,all-agents,875
de.wikipedia,Amsel,daily,2015080800,all-access,all-agents,913
de.wikipedia,Amsel,daily,2015080900,all-access,all-agents,1138
de.wikipedia,Amsel,daily,2015081000,all-access,all-agents,754
de.wikipedia,Amsel,daily,2015081100,all-access,all-agents,642
de.wikipedia,Amsel,daily,2015081200,all-access,all-agents,658
de.wikipedia,Amsel,daily,2015081300,all-access,all-agents,629
de.wikipedia,Amsel,daily,2015081400,all-access,all-agents,646
de.wikipedia,Amsel,daily,2015081500,all-access,all-agents,681
de.wikipedia,Amsel,daily,2015081600,all-access,all-agents,812
de.wikipedia,Amsel,daily,2015081700,all-access,all-agents,564
de.wikipedia,Amsel,daily,2015081800,all-access,all-agents,467
de.wikipedia,Amsel,daily,2015081900,all-access,all-agents,452
de.wikipedia,Amsel,daily,2015082000,all-access,all-agents,432
de.wikipedia,Amsel,daily,2015082100,all-access,all-agents,443
de.wikipedia,Amsel,daily,2015082200,all-access,all-agents,521
de.wikipedia,Amsel,daily,2015082300,all-access,all-agents,686
de.wikipedia,Amsel,daily,2015082400,all-access,all-agents,441
de.wikipedia,Amsel,daily,2015082500,all-access,all-agents,473
de.wikipedia,Amsel,daily,2015082600,all-access,all-agents,476
de.wikipedia,Amsel,daily,2015082700,all-access,all-agents,564
de.wikipedia,Amsel,daily,2015082800,all-access,all-agents,497
