project,article,granularity,timestamp,access,agent,views
de.wikipedia,Apodaca_Provincial_Park,daily,2016051800,all-access,all-agents,30
de.wikipedia,Apodaca_Provincial_Park,daily,2016051900,all-access,all-agents,5
de.wikipedia,Apodaca_Provincial_Park,daily,2016052100,all-access,all-agents,4
de.wikipedia,Apodaca_Provincial_Park,daily,2016052200,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016052300,all-access,all-agents,3
de.wikipedia,Apodaca_Provincial_Park,daily,2016052400,all-access,all-agents,4
de.wikipedia,Apodaca_Provincial_Park,daily,2016052500,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016052600,all-access,all-agents,5
de.wikipedia,Apodaca_Provincial_Park,daily,2016052800,all-access,all-agents,3
de.wikipedia,Apodaca_Provincial_Park,daily,2016052900,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016053000,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016053100,all-access,all-agents,3
de.wikipedia,Apodaca_Provincial_Park,daily,2016060100,all-access,all-agents,4
de.wikipedia,Apodaca_Provincial_Park,daily,2016060200,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016060300,all-access,all-agents,3
de.wikipedia,Apodaca_Provincial_Park,daily,2016060400,all-access,all-agents,3
de.wikipedia,Apodaca_Provincial_Park,daily,2016060700,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016061000,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016061100,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016061200,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016061300,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016061500,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016061700,all-access,all-agents,3
de.wikipedia,Apodaca_Provincial_Park,daily,2016061800,all-access,all-agents,3
de.wikipedia,Apodaca_Provincial_Park,daily,2016062000,all-access,all-agents,3
de.wikipedia,Apodaca_Provincial_Park,daily,2016062200,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016062300,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016062400,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016062500,all-access,all-agents,3
de.wikipedia,Apodaca_Provincial_Park,daily,2016062600,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016062800,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016062900,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016070200,all-access,all-agents,3
de.wikipedia,Apodaca_Provincial_Park,daily,2016070300,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016070400,all-access,all-agents,3
de.wikipedia,Apodaca_Provincial_Park,daily,2016070500,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016070600,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016070700,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016070800,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016070900,all-access,all-agents,4
de.wikipedia,Apodaca_Provincial_Park,daily,2016071100,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016071200,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016071300,all-access,all-agents,4
de.wikipedia,Apodaca_Provincial_Park,daily,2016071500,all-access,all-agents,3
de.wikipedia,Apodaca_Provincial_Park,daily,2016071600,all-access,all-agents,4
de.wikipedia,Apodaca_Provincial_Park,daily,2016071700,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016071900,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016072100,all-access,all-agents,3
de.wikipedia,Apodaca_Provincial_Park,daily,2016072300,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016072600,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016072700,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016072900,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016073000,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016080100,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016080300,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016080500,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016080600,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016080800,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016080900,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016081100,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016081200,all-access,all-agents,2
de.wikipedia,Apodaca_Provincial_Park,daily,2016081300,all-access,all-agents,4
de.wikipedia,Apodaca_Provincial_Park,daily,2016081500,all-access,all-agents,1
de.wikipedia,Apodaca_Provincial_Park,daily,2016081800,all-access,all-agents,2
