project,article,granularity,timestamp,access,agent,views
de.wikipedia,Buchsbaumzünsler,daily,2015070100,all-access,all-agents,292
de.wikipedia,Buchsbaumzünsler,daily,2015070200,all-access,all-agents,287
de.wikipedia,Buchsbaumzünsler,daily,2015070300,all-access,all-agents,290
de.wikipedia,Buchsbaumzünsler,daily,2015070400,all-access,all-agents,307
de.wikipedia,Buchsbaumzünsler,daily,2015070500,all-access,all-agents,412
de.wikipedia,Buchsbaumzünsler,daily,2015070600,all-access,all-agents,361
de.wikipedia,Buchsbaumzünsler,daily,2015070700,all-access,all-agents,321
de.wikipedia,Buchsbaumzünsler,daily,2015070800,all-access,all-agents,210
de.wikipedia,Buchsbaumzünsler,daily,2015070900,all-access,all-agents,215
de.wikipedia,Buchsbaumzünsler,daily,2015071000,all-access,all-agents,262
de.wikipedia,Buchsbaumzünsler,daily,2015071100,all-access,all-agents,342
de.wikipedia,Buchsbaumzünsler,daily,2015071200,all-access,all-agents,439
de.wikipedia,Buchsbaumzünsler,daily,2015071300,all-access,all-agents,309
de.wikipedia,Buchsbaumzünsler,daily,2015071400,all-access,all-agents,337
de.wikipedia,Buchsbaumzünsler,daily,2015071500,all-access,all-agents,333
de.wikipedia,Buchsbaumzünsler,daily,2015071600,all-access,all-agents,377
de.wikipedia,Buchsbaumzünsler,daily,2015071700,all-access,all-agents,346
de.wikipedia,Buchsbaumzünsler,daily,2015071800,all-access,all-agents,459
de.wikipedia,Buchsbaumzünsler,daily,2015071900,all-access,all-agents,581
de.wikipedia,Buchsbaumzünsler,daily,2015072000,all-access,all-agents,610
de.wikipedia,Buchsbaumzünsler,daily,2015072100,all-access,all-agents,561
de.wikipedia,Buchsbaumzünsler,daily,2015072200,all-access,all-agents,488
de.wikipedia,Buchsbaumzünsler,daily,2015072300,all-access,all-agents,483
de.wikipedia,Buchsbaumzünsler,daily,2015072400,all-access,all-agents,486
de.wikipedia,Buchsbaumzünsler,daily,2015072500,all-access,all-agents,393
de.wikipedia,Buchsbaumzünsler,daily,2015072600,all-access,all-agents,542
de.wikipedia,Buchsbaumzünsler,daily,2015072700,all-access,all-agents,447
de.wikipedia,Buchsbaumzünsler,daily,2015072800,all-access,all-agents,471
de.wikipedia,Buchsbaumzünsler,daily,2015072900,all-access,all-agents,367
de.wikipedia,Buchsbaumzünsler,daily,2015073000,all-access,all-agents,381
