project,article,granularity,timestamp,access,agent,views
de.wikipedia,Deutschland,daily,2015070100,all-access,all-agents,16597
de.wikipedia,Deutschland,daily,2015070200,all-access,all-agents,15574
de.wikipedia,Deutschland,daily,2015070300,all-access,all-agents,14302
de.wikipedia,Deutschland,daily,2015070400,all-access,all-agents,12642
de.wikipedia,Deutschland,daily,2015070500,all-access,all-agents,16836
de.wikipedia,Deutschland,daily,2015070600,all-access,all-agents,17592
de.wikipedia,Deutschland,daily,2015070700,all-access,all-agents,17185
de.wikipedia,Deutschland,daily,2015070800,all-access,all-agents,17946
de.wikipedia,Deutschland,daily,2015070900,all-access,all-agents,16692
de.wikipedia,Deutschland,daily,2015071000,all-access,all-agents,14418
de.wikipedia,Deutschland,daily,2015071100,all-access,all-agents,12149
de.wikipedia,Deutschland,daily,2015071200,all-access,all-agents,16395
de.wikipedia,Deutschland,daily,2015071300,all-access,all-agents,17417
de.wikipedia,Deutschland,daily,2015071400,all-access,all-agents,16975
de.wikipedia,Deutschland,daily,2015071500,all-access,all-agents,15712
de.wikipedia,Deutschland,daily,2015071600,all-access,all-agents,14704
de.wikipedia,Deutschland,daily,2015071700,all-access,all-agents,13931
de.wikipedia,Deutschland,daily,2015071800,all-access,all-agents,12643
de.wikipedia,Deutschland,daily,2015071900,all-access,all-agents,16029
de.wikipedia,Deutschland,daily,2015072000,all-access,all-agents,15544
de.wikipedia,Deutschland,daily,2015072100,all-access,all-agents,14761
de.wikipedia,Deutschland,daily,2015072200,all-access,all-agents,14438
de.wikipedia,Deutschland,daily,2015072300,all-access,all-agents,13792
de.wikipedia,Deutschland,daily,2015072400,all-access,all-agents,13367
de.wikipedia,Deutschland,daily,2015072500,all-access,all-agents,21648
de.wikipedia,Deutschland,daily,2015072600,all-access,all-agents,14873
de.wikipedia,Deutschland,daily,2015072700,all-access,all-agents,15371
de.wikipedia,Deutschland,daily,2015072800,all-access,all-agents,15602
de.wikipedia,Deutschland,daily,2015072900,all-access,all-agents,15501
de.wikipedia,Deutschland,daily,2015073000,all-access,all-agents,15046
de.wikipedia,Deutschland,daily,2015073100,all-access,all-agents,13580
de.wikipedia,Deutschland,daily,2015080100,all-access,all-agents,269432
de.wikipedia,Deutschland,daily,2015080200,all-access,all-agents,14221
de.wikipedia,Deutschland,daily,2015080300,all-access,all-agents,240894
de.wikipedia,Deutschland,daily,2015080400,all-access,all-agents,105896
de.wikipedia,Deutschland,daily,2015080500,all-access,all-agents,13814
de.wikipedia,Deutschland,daily,2015080600,all-access,all-agents,14285
de.wikipedia,Deutschland,daily,2015080700,all-access,all-agents,14187
de.wikipedia,Deutschland,daily,2015080800,all-access,all-agents,12566
de.wikipedia,Deutschland,daily,2015080900,all-access,all-agents,14697
de.wikipedia,Deutschland,daily,2015081000,all-access,all-agents,13814
de.wikipedia,Deutschland,daily,2015081100,all-access,all-agents,14846
de.wikipedia,Deutschland,daily,2015081200,all-access,all-agents,14914
de.wikipedia,Deutschland,daily,2015081300,all-access,all-agents,14851
de.wikipedia,Deutschland,daily,2015081400,all-access,all-agents,14356
de.wikipedia,Deutschland,daily,2015081500,all-access,all-agents,13863
de.wikipedia,Deutschland,daily,2015081600,all-access,all-agents,16486
de.wikipedia,Deutschland,daily,2015081700,all-access,all-agents,17218
de.wikipedia,Deutschland,daily,2015081800,all-access,all-agents,18601
de.wikipedia,Deutschland,daily,2015081900,all-access,all-agents,17783
de.wikipedia,Deutschland,daily,2015082000,all-access,all-agents,18144
de.wikipedia,Deutschland,daily,2015082100,all-access,all-agents,16097
de.wikipedia,Deutschland,daily,2015082200,all-access,all-agents,13454
de.wikipedia,Deutschland,daily,2015082300,all-access,all-agents,16424
de.wikipedia,Deutschland,daily,2015082400,all-access,all-agents,18169
de.wikipedia,Deutschland,daily,2015082500,all-access,all-agents,18440
de.wikipedia,Deutschland,daily,2015082600,all-access,all-agents,18367
de.wikipedia,Deutschland,daily,2015082700,all-access,all-agents,18114
de.wikipedia,Deutschland,daily,2015082800,all-access,all-agents,16229
de.wikipedia,Deutschland,daily,2015082900,all-access,all-agents,15533
de.wikipedia,Deutschland,daily,2015083000,all-access,all-agents,17468
de.wikipedia,Deutschland,daily,2015083100,all-access,all-agents,18690
de.wikipedia,Deutschland,daily,2015090100,all-access,all-agents,21138
de.wikipedia,Deutschland,daily,2015090200,all-access,all-agents,19593
de.wikipedia,Deutschland,daily,2015090300,all-access,all-agents,22131
de.wikipedia,Deutschland,daily,2015090400,all-access,all-agents,19598
de.wikipedia,Deutschland,daily,2015090500,all-access,all-agents,18828
