project,article,granularity,timestamp,access,agent,views
de.wikipedia,Josef_Prokop_Pražák,daily,2017112200,all-access,all-agents,18
de.wikipedia,Josef_Prokop_Pražák,daily,2017112300,all-access,all-agents,18
de.wikipedia,Josef_Prokop_Pražák,daily,2017112400,all-access,all-agents,13
de.wikipedia,Josef_Prokop_Pražák,daily,2017112500,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2017112700,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2017112800,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2017112900,all-access,all-agents,3
de.wikipedia,Josef_Prokop_Pražák,daily,2017120200,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2017120300,all-access,all-agents,6
de.wikipedia,Josef_Prokop_Pražák,daily,2017120400,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2017120500,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2017120600,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2017120900,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2017121200,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2017121300,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2017121600,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2017121900,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2017122000,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2017122300,all-access,all-agents,4
de.wikipedia,Josef_Prokop_Pražák,daily,2017122400,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2017122500,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2017123000,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2017123100,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018010200,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018010300,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018010500,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018010600,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2018010700,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018010800,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018010900,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018011300,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2018011600,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018011800,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018012100,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018012300,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018012400,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018012700,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2018013100,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2018020100,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018020300,all-access,all-agents,3
de.wikipedia,Josef_Prokop_Pražák,daily,2018020400,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2018020500,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018021000,all-access,all-agents,4
de.wikipedia,Josef_Prokop_Pražák,daily,2018021100,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018021700,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2018021900,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2018022000,all-access,all-agents,3
de.wikipedia,Josef_Prokop_Pražák,daily,2018022100,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018022200,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018022400,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2018022600,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018030100,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018030300,all-access,all-agents,3
de.wikipedia,Josef_Prokop_Pražák,daily,2018030500,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018030700,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2018030900,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2018031000,all-access,all-agents,4
de.wikipedia,Josef_Prokop_Pražák,daily,2018031200,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018031500,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018031700,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2018031900,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018032000,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2018032400,all-access,all-agents,3
de.wikipedia,Josef_Prokop_Pražák,daily,2018032600,all-access,all-agents,3
de.wikipedia,Josef_Prokop_Pražák,daily,2018032900,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2018033000,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018033100,all-access,all-agents,3
de.wikipedia,Josef_Prokop_Pražák,daily,2018040100,all-access,all-agents,4
de.wikipedia,Josef_Prokop_Pražák,daily,2018040400,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018040700,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2018041100,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018041300,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2018041400,all-access,all-agents,2
de.wikipedia,Josef_Prokop_Pražák,daily,2018041500,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018041600,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018042000,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018042100,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018042300,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018042600,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018042800,all-access,all-agents,3
de.wikipedia,Josef_Prokop_Pražák,daily,2018043000,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018050300,all-access,all-agents,1
de.wikipedia,Josef_Prokop_Pražák,daily,2018050400,all-access,all-agents,1
