project,article,granularity,timestamp,access,agent,views
de.wikipedia,Kohlmeise,daily,2015070100,all-access,all-agents,344
de.wikipedia,Kohlmeise,daily,2015070200,all-access,all-agents,310
de.wikipedia,Kohlmeise,daily,2015070300,all-access,all-agents,307
de.wikipedia,Kohlmeise,daily,2015070400,all-access,all-agents,385
de.wikipedia,Kohlmeise,daily,2015070500,all-access,all-agents,376
de.wikipedia,Kohlmeise,daily,2015070600,all-access,all-agents,310
de.wikipedia,Kohlmeise,daily,2015070700,all-access,all-agents,278
de.wikipedia,Kohlmeise,daily,2015070800,all-access,all-agents,265
de.wikipedia,Kohlmeise,daily,2015070900,all-access,all-agents,238
de.wikipedia,Kohlmeise,daily,2015071000,all-access,all-agents,234
de.wikipedia,Kohlmeise,daily,2015071100,all-access,all-agents,222
de.wikipedia,Kohlmeise,daily,2015071200,all-access,all-agents,321
de.wikipedia,Kohlmeise,daily,2015071300,all-access,all-agents,256
de.wikipedia,Kohlmeise,daily,2015071400,all-access,all-agents,442
de.wikipedia,Kohlmeise,daily,2015071500,all-access,all-agents,237
de.wikipedia,Kohlmeise,daily,2015071600,all-access,all-agents,206
de.wikipedia,Kohlmeise,daily,2015071700,all-access,all-agents,222
de.wikipedia,Kohlmeise,daily,2015071800,all-access,all-agents,203
de.wikipedia,Kohlmeise,daily,2015071900,all-access,all-agents,284
de.wikipedia,Kohlmeise,daily,2015072000,all-access,all-agents,169
de.wikipedia,Kohlmeise,daily,2015072100,all-access,all-agents,174
de.wikipedia,Kohlmeise,daily,2015072200,all-access,all-agents,178
de.wikipedia,Kohlmeise,daily,2015072300,all-access,all-agents,187
de.wikipedia,Kohlmeise,daily,2015072400,all-access,all-agents,176
de.wikipedia,Kohlmeise,daily,2015072500,all-access,all-agents,143
de.wikipedia,Kohlmeise,daily,2015072600,all-access,all-agents,174
de.wikipedia,Kohlmeise,daily,2015072700,all-access,all-agents,185
de.wikipedia,Kohlmeise,daily,2015072800,all-access,all-agents,175
de.wikipedia,Kohlmeise,daily,2015072900,all-access,all-agents,172
de.wikipedia,Kohlmeise,daily,2015073000,all-access,all-agents,173
de.wikipedia,Kohlmeise,daily,2015073100,all-access,all-agents,129
de.wikipedia,Kohlmeise,daily,2015080100,all-access,all-agents,162
de.wikipedia,Kohlmeise,daily,2015080200,all-access,all-agents,193
de.wikipedia,Kohlmeise,daily,2015080300,all-access,all-agents,131
de.wikipedia,Kohlmeise,daily,2015080400,all-access,all-agents,162
de.wikipedia,Kohlmeise,daily,2015080500,all-access,all-agents,153
de.wikipedia,Kohlmeise,daily,2015080600,all-access,all-agents,130
de.wikipedia,Kohlmeise,daily,2015080700,all-access,all-agents,145
de.wikipedia,Kohlmeise,daily,2015080800,all-access,all-agents,132
de.wikipedia,Kohlmeise,daily,2015080900,all-access,all-agents,159
de.wikipedia,Kohlmeise,daily,2015081000,all-access,all-agents,152
de.wikipedia,Kohlmeise,daily,2015081100,all-access,all-agents,122
de.wikipedia,Kohlmeise,daily,2015081200,all-access,all-agents,144
de.wikipedia,Kohlmeise,daily,2015081300,all-access,all-agents,130
de.wikipedia,Kohlmeise,daily,2015081400,all-access,all-agents,171
de.wikipedia,Kohlmeise,daily,2015081500,all-access,all-agents,156
de.wikipedia,Kohlmeise,daily,2015081600,all-access,all-agents,238
de.wikipedia,Kohlmeise,daily,2015081700,all-access,all-agents,190
de.wikipedia,Kohlmeise,daily,2015081800,all-access,all-agents,187
de.wikipedia,Kohlmeise,daily,2015081900,all-access,all-agents,146
de.wikipedia,Kohlmeise,daily,2015082000,all-access,all-agents,134
de.wikipedia,Kohlmeise,daily,2015082100,all-access,all-agents,113
de.wikipedia,Kohlmeise,daily,2015082200,all-access,all-agents,134
de.wikipedia,Kohlmeise,daily,2015082300,all-access,all-agents,209
de.wikipedia,Kohlmeise,daily,2015082400,all-access,all-agents,156
de.wikipedia,Kohlmeise,daily,2015082500,all-access,all-agents,181
de.wikipedia,Kohlmeise,daily,2015082600,all-access,all-agents,177
de.wikipedia,Kohlmeise,daily,2015082700,all-access,all-agents,150
de.wikipedia,Kohlmeise,daily,2015082800,all-access,all-agents,133
de.wikipedia,Kohlmeise,daily,2015082900,all-access,all-agents,134
de.wikipedia,Kohlmeise,daily,2015083000,all-access,all-agents,148
de.wikipedia,Kohlmeise,daily,2015083100,all-access,all-agents,161
de.wikipedia,Kohlmeise,daily,2015090100,all-access,all-agents,150
de.wikipedia,Kohlmeise,daily,2015090200,all-access,all-agents,183
