project,article,granularity,timestamp,access,agent,views
de.wikipedia,Lilla_Lövö,daily,2015070300,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015070500,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015070600,all-access,all-agents,6
de.wikipedia,Lilla_Lövö,daily,2015070700,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015070800,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015071000,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015071100,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015071200,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015071300,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015071400,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015071500,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015071600,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015071800,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015071900,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015072000,all-access,all-agents,4
de.wikipedia,Lilla_Lövö,daily,2015072100,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015072200,all-access,all-agents,5
de.wikipedia,Lilla_Lövö,daily,2015072300,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015072400,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015072500,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015072600,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015072700,all-access,all-agents,4
de.wikipedia,Lilla_Lövö,daily,2015072800,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015072900,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015073000,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015080100,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015080200,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015080300,all-access,all-agents,5
de.wikipedia,Lilla_Lövö,daily,2015080400,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015080600,all-access,all-agents,4
de.wikipedia,Lilla_Lövö,daily,2015080800,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015081200,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015081300,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015081400,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015081500,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015081600,all-access,all-agents,6
de.wikipedia,Lilla_Lövö,daily,2015081700,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015081800,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015081900,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015082100,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015082200,all-access,all-agents,4
de.wikipedia,Lilla_Lövö,daily,2015082400,all-access,all-agents,4
de.wikipedia,Lilla_Lövö,daily,2015082500,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015082600,all-access,all-agents,5
de.wikipedia,Lilla_Lövö,daily,2015082900,all-access,all-agents,5
de.wikipedia,Lilla_Lövö,daily,2015083100,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015090200,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015090300,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015090400,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015090500,all-access,all-agents,7
de.wikipedia,Lilla_Lövö,daily,2015090600,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015090700,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015090800,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015090900,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015091000,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015091100,all-access,all-agents,4
de.wikipedia,Lilla_Lövö,daily,2015091200,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015091300,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015091400,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015091800,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015091900,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015092000,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015092200,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015092400,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015092500,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015092600,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015092700,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015092800,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015100200,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015100300,all-access,all-agents,4
de.wikipedia,Lilla_Lövö,daily,2015100400,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015100500,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015100600,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015100900,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015101000,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015101100,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015101200,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015101300,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015101400,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015101500,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015101600,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015101700,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015101800,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015101900,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015102000,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015102200,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015102400,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015102500,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015102700,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015102800,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015102900,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015103100,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015110100,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015110300,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015110500,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015110600,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015110700,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015111000,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015111100,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015111200,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015111400,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015111500,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015111600,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015111800,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015111900,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015112000,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015112100,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015112200,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015112400,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015112600,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015112700,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015112800,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015112900,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015113000,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015120100,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015120200,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015120300,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015120500,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015120800,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015120900,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015121100,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015121200,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015121400,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015121500,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015121900,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015122100,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015122300,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015122400,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015122600,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2015122700,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2015122800,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2015123000,all-access,all-agents,4
de.wikipedia,Lilla_Lövö,daily,2015123100,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016010100,all-access,all-agents,5
de.wikipedia,Lilla_Lövö,daily,2016010200,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2016010400,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016010700,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016010900,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2016011100,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016011300,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016011500,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016011600,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016012000,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016012100,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016012200,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016012300,all-access,all-agents,6
de.wikipedia,Lilla_Lövö,daily,2016012700,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016012800,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016013000,all-access,all-agents,5
de.wikipedia,Lilla_Lövö,daily,2016013100,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016020300,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016020400,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016020500,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016020600,all-access,all-agents,4
de.wikipedia,Lilla_Lövö,daily,2016020700,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016020900,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016021200,all-access,all-agents,5
de.wikipedia,Lilla_Lövö,daily,2016021300,all-access,all-agents,4
de.wikipedia,Lilla_Lövö,daily,2016021400,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016021700,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2016021800,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016021900,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016022000,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016022200,all-access,all-agents,3
de.wikipedia,Lilla_Lövö,daily,2016022300,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016022400,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016022700,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016022800,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016022900,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016030200,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016030400,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016030500,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016030700,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016031100,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016031200,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016031300,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016031400,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016031700,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016031900,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016032000,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016032100,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016032300,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016032600,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016032700,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016032800,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016032900,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016040100,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016040200,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016040300,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016040400,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016040500,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016040700,all-access,all-agents,2
de.wikipedia,Lilla_Lövö,daily,2016040800,all-access,all-agents,1
de.wikipedia,Lilla_Lövö,daily,2016040900,all-access,all-agents,5
de.wikipedia,Lilla_Lövö,daily,2016041000,all-access,all-agents,1
