project,article,granularity,timestamp,access,agent,views
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018112400,all-access,all-agents,14
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018112500,all-access,all-agents,2
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018112600,all-access,all-agents,2
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018112700,all-access,all-agents,1
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018112800,all-access,all-agents,2
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018112900,all-access,all-agents,2
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018113000,all-access,all-agents,2
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018120200,all-access,all-agents,2
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018120300,all-access,all-agents,8
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018120400,all-access,all-agents,2
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018120500,all-access,all-agents,2
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018120600,all-access,all-agents,8
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018120700,all-access,all-agents,10
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018120800,all-access,all-agents,10
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018120900,all-access,all-agents,1
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018121100,all-access,all-agents,2
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018121200,all-access,all-agents,1
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018121400,all-access,all-agents,20
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018121500,all-access,all-agents,3
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018121600,all-access,all-agents,14
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018121900,all-access,all-agents,5
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018122100,all-access,all-agents,10
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018122200,all-access,all-agents,3
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018122300,all-access,all-agents,301
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018122400,all-access,all-agents,72
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018122500,all-access,all-agents,47
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018122600,all-access,all-agents,50
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018122700,all-access,all-agents,35
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018122800,all-access,all-agents,64
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018122900,all-access,all-agents,23
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018123000,all-access,all-agents,119
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2018123100,all-access,all-agents,2
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019010100,all-access,all-agents,2
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019010200,all-access,all-agents,2
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019010300,all-access,all-agents,16
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019010400,all-access,all-agents,3
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019010500,all-access,all-agents,5
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019010600,all-access,all-agents,7
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019010700,all-access,all-agents,4
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019010900,all-access,all-agents,1
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019011100,all-access,all-agents,1
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019011200,all-access,all-agents,6
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019011300,all-access,all-agents,6
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019011400,all-access,all-agents,15
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019011500,all-access,all-agents,14
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019011600,all-access,all-agents,1
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019011800,all-access,all-agents,1
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019011900,all-access,all-agents,3
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019012000,all-access,all-agents,2
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019012100,all-access,all-agents,12
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019012200,all-access,all-agents,1
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019012300,all-access,all-agents,4
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019012400,all-access,all-agents,1
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019012500,all-access,all-agents,1
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019012700,all-access,all-agents,2
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019012800,all-access,all-agents,2
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019012900,all-access,all-agents,2
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019013000,all-access,all-agents,3
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019013100,all-access,all-agents,6
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019020100,all-access,all-agents,4
de.wikipedia,Liste_der_Straßennamen_von_Igersheim,daily,2019020200,all-access,all-agents,4
