project,article,granularity,timestamp,access,agent,views
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017062700,all-access,all-agents,10
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017062800,all-access,all-agents,13
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017062900,all-access,all-agents,3
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017063000,all-access,all-agents,5
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017070100,all-access,all-agents,8
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017070200,all-access,all-agents,11
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017070300,all-access,all-agents,7
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017070400,all-access,all-agents,15
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017070500,all-access,all-agents,4
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017070600,all-access,all-agents,11
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017070700,all-access,all-agents,6
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017070800,all-access,all-agents,8
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017070900,all-access,all-agents,6
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017071000,all-access,all-agents,7
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017071100,all-access,all-agents,9
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017071200,all-access,all-agents,5
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017071300,all-access,all-agents,9
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017071400,all-access,all-agents,3
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017071500,all-access,all-agents,6
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017071600,all-access,all-agents,22
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017071700,all-access,all-agents,14
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017071800,all-access,all-agents,6
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017071900,all-access,all-agents,4
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017072000,all-access,all-agents,28
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017072100,all-access,all-agents,6
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017072200,all-access,all-agents,5
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017072300,all-access,all-agents,4
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017072400,all-access,all-agents,11
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017072500,all-access,all-agents,27
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017072600,all-access,all-agents,12
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017072700,all-access,all-agents,25
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017072800,all-access,all-agents,18
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017072900,all-access,all-agents,13
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017073000,all-access,all-agents,14
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017073100,all-access,all-agents,9
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017080100,all-access,all-agents,31
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017080200,all-access,all-agents,10
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017080300,all-access,all-agents,7
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017080400,all-access,all-agents,12
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017080500,all-access,all-agents,11
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017080600,all-access,all-agents,20
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017080700,all-access,all-agents,25
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017080800,all-access,all-agents,13
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017080900,all-access,all-agents,29
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017081000,all-access,all-agents,11
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017081100,all-access,all-agents,12
de.wikipedia,Liste_der_Wirbeltierarten_des_Kruger-Nationalparks,daily,2017081200,all-access,all-agents,8
