project,article,granularity,timestamp,access,agent,views
de.wikipedia,Notchview,daily,2015070100,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015070300,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015070600,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015070800,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015071000,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015071100,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015071300,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015071400,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015071500,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015071600,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015071700,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015071800,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015072100,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015072200,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015072400,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015072500,all-access,all-agents,4
de.wikipedia,Notchview,daily,2015072700,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015072800,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015072900,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015073100,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015080100,all-access,all-agents,4
de.wikipedia,Notchview,daily,2015080400,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015080700,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015080800,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015081000,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015081100,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015081200,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015081300,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015081500,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015081600,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015081700,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015081900,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015082200,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015082300,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015082400,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015082500,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015082800,all-access,all-agents,4
de.wikipedia,Notchview,daily,2015082900,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015083000,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015090100,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015090400,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015090500,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015090600,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015090700,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015091100,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015091200,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015091300,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015091400,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015091500,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015091700,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015091800,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015091900,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015092000,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015092100,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015092200,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015092300,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015092600,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015093000,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015100100,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015100300,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015100600,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015100800,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015100900,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015101000,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015101300,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015101400,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015101500,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015101700,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015101800,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015102000,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015102300,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015102400,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015102500,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015102700,all-access,all-agents,6
de.wikipedia,Notchview,daily,2015102800,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015102900,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015103000,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015103100,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015110400,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015110700,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015111400,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015111500,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015111700,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015112100,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015112200,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015112500,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015112700,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015112800,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015113000,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015120200,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015120300,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015120400,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015120500,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015120600,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015120700,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015121200,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015121900,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015122100,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015122200,all-access,all-agents,2
de.wikipedia,Notchview,daily,2015122300,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015122400,all-access,all-agents,1
de.wikipedia,Notchview,daily,2015122600,all-access,all-agents,3
de.wikipedia,Notchview,daily,2015122700,all-access,all-agents,4
